RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31
102001,0,United States,country,,1164.385768846054,1169.7729529980231,1175.560734047535,1180.2638974085326,1184.4032449453061,1188.3218840878446,1192.8527057856359,1197.8760320257682,1203.1554150628613,1208.2538253759,1213.0493293334177,1217.4439284276232,1221.0125453848236,1224.0175497907358,1225.841915814876,1229.3023155100932,1232.9924464122478,1237.7027005971765,1241.3063557875712,1245.1390627064372,1248.730378407705,1252.5456669035543,1255.8482178226786,1259.1421102644917,1263.8480904987587,1269.3531451369934,1276.1567359248393,1281.038122823073,1285.8144849283876,1289.6097232619497,1293.6270860101292,1297.028239739324,1301.6714127233724,1305.487541102849,1310.0785152504711,1314.4548098817552,1319.425652473742,1324.4253596021692,1328.5298649114623,1332.8160745262117,1336.353945831138,1340.7237040477753,1345.2915517123322,1350.3377934685545,1354.393986310063,1359.5990159563005,1365.1692725448056,1370.6707272865665,1374.5829340821901,1377.945567833857,1382.072041571759,1386.7488004538113,1392.081312839208,1397.074387082361,1402.039071029796,1406.8895272533262,1411.9439331431752,1416.488824272041,1420.507490721689,1424.7429649932167,1429.7023688153768,1434.9747385314613,1439.1654100754026,1437.576060762747,1433.9421942642234,1430.7940064609834,1431.7317669866297,1432.1651126568981,1433.117430013771,1436.5971176823948,1442.1093255989933,1449.4106353237435,1459.6293800540154,1470.5747629498326,1482.5437918924654,1497.3598488241662,1516.8780227607153,1539.8289949938746,1563.4245949436515,1589.012914216979,1614.5315060681721,1636.4483182723545,1655.2068056624473,1671.6826939472276,1685.310065456326,1698.7640448475925,1709.9647874881498,1725.0200707138665,1738.4694401068452,1752.260132248196,1762.4495759855918,1769.7730442976322,1774.9370398980075,1778.9515176824007,1783.359765772914,1788.6871350301856,1793.9493918677217,1799.2835879204347,1807.138903467473,1811.9720249221043,1816.4674980426362,1817.0331000000633,1820.2614140805879,1823.7059461992797,1827.5200589960775,1831.9732814527642,1836.2975868614858,1841.360173442161,1846.6972724289146,1851.8490699106164,1856.1469998582418,1860.4734914869157,1864.8843659488873,1869.7160849670527,1873.611936036639,1877.4920060736258,1881.1462252221622,1884.6465451118856,1889.5550779361163,1894.1632939577037,1899.6529887917811,1904.1230093656072,1908.2723710488808,1910.9887550285227,1912.830351762528,1914.6762315196365,1916.2100526584727,1920.0273470403267,1924.0831909407157,1928.1336108755634,1931.0370942392608,1933.5685768076855,1935.308385798372,1937.8643857457125,1940.634212871392,1945.0338679107488,1950.2353202564586,1956.0649108935977,1962.188013617572
394913,1,"New York, NY",msa,NY,2332.0034092880155,2347.603181182494,2361.641043384577,2371.1198618357093,2375.1505865077625,2379.2629120710067,2384.7488882002144,2393.61116449692,2402.7446345272733,2411.193158494541,2415.3267845755677,2420.295006200401,2423.464705027444,2426.975411821168,2428.021875079978,2430.1226506519592,2433.8837373988213,2438.3217425657394,2444.820846569887,2447.912498908441,2452.4513724626736,2457.1465935341253,2467.28964375663,2470.9085435522557,2474.010210356045,2473.5917117817294,2477.647424052924,2480.7655246788836,2486.3965252400503,2489.422785201501,2492.9141939153055,2494.1537255638013,2497.5542463843317,2496.842221101922,2497.2104101778095,2499.3287770485495,2505.210473915028,2510.653267390072,2515.62243226206,2523.123469847577,2528.3645571009206,2533.1647258460075,2537.8628803914,2546.062536120604,2552.989339614026,2558.4175486638887,2565.5069746948457,2571.267937047876,2577.9659907607647,2584.6728877551604,2591.258889029242,2596.5627386220026,2602.5373715981627,2610.2814377569894,2617.786542060023,2624.595788879966,2631.4002204634376,2641.672226452905,2649.5409293321413,2659.249523306947,2666.9356810034446,2675.957078461062,2666.1394290649155,2649.766330481933,2621.14173627213,2585.646712805149,2550.1219224476868,2504.673732165245,2463.923781006223,2437.4734731211515,2424.338570300687,2423.332837499173,2427.3702772909583,2435.8278400313625,2447.842616325234,2466.371103383657,2497.2076221116727,2537.159452753076,2586.5987186368166,2646.286602533811,2707.5474196434498,2761.811929605071,2810.316933790858,2850.2605427542226,2884.535261752868,2913.4569245359553,2941.357816862271,2969.803257737915,3000.769390777845,3033.473546316222,3063.3316400276262,3086.5222427831673,3101.686609471188,3111.1340880705693,3115.1265691184476,3120.1817842370237,3127.95080109028,3139.019021661412,3153.0515301911114,3170.454075738158,3184.483867778205,3192.3742707141596,3197.143076454792,3203.5933062695503,3215.405413947358,3225.71750051183,3236.142642222633,3247.227209118474,3262.003576905176,3276.575758850135,3290.3029443937953,3301.520856139065,3310.478160278783,3317.7000676957346,3319.761417177416,3323.065108124781,3329.1680445184916,3341.02684997683,3361.7597884694137,3380.2048458644063,3400.4007909931715,3413.073946101815,3425.8073533866955,3436.290266517704,3442.851843538478,3454.5878012165554,3470.480306604428,3489.7332913700116,3505.546195267567,3518.8974801759337,3526.4159146452985,3535.39190119867,3540.742650164126,3551.642265148542,3562.5081140584884,3575.876318939958,3594.2655115834523,3610.8138736702695,3627.4577960055612
753899,2,"Los Angeles, CA",msa,CA,1773.9730320274052,1783.6388771086006,1794.9376273053763,1805.5710274343298,1813.8638264952694,1821.8656123414173,1831.646896862404,1842.8316227006928,1855.620008718048,1866.2487907279947,1878.1807490926142,1889.8506872997884,1900.8005734794162,1908.2011036662889,1913.341817923261,1919.8496281283617,1928.5334114735933,1938.6915031123917,1948.3278672044767,1955.861413020498,1964.0496484182981,1971.7069669807483,1979.9483774010764,1987.8085898301476,2000.4826762133794,2013.8204070500017,2030.9839328700234,2041.0942942139695,2050.757158148739,2057.047353337163,2065.1104043254886,2071.813402735829,2080.035100109658,2086.5202330433062,2095.5226118401856,2103.925328249686,2114.150998534681,2124.7744169719517,2129.840780531707,2135.892918703563,2139.9558625559575,2149.672721277304,2158.143939761618,2168.4538100335403,2175.692581000352,2185.1945953271074,2193.780787345685,2202.546121314022,2206.0345460643234,2209.904031002801,2216.352278550768,2225.1916809678546,2235.196359865639,2241.9241117036368,2248.4791530987955,2254.4135498961673,2261.4517660648366,2267.5150261039953,2272.6157542036494,2277.778888664529,2284.9229061893393,2291.338367396905,2287.5741458352873,2279.148531194113,2271.268133925219,2263.5691796543597,2259.208724837705,2252.918787369107,2251.212435192971,2255.4112807894076,2262.4087866919153,2268.085705025813,2279.4807388667446,2291.0376403006894,2304.4259111753304,2317.4333811744236,2336.5491632935027,2365.921869577643,2401.41207397585,2444.113918361317,2481.355983452314,2512.111563761165,2535.80210141623,2562.047625113268,2583.804210064543,2608.7434442355166,2630.272414376634,2659.650440336674,2681.806563548197,2699.489602813231,2708.4895019290175,2713.891558844393,2718.862460310005,2722.3000098121447,2729.524875382028,2733.6917521217856,2735.930883575875,2738.1248837072217,2746.413737268726,2753.1980792553445,2759.3325923115467,2760.917087033098,2766.7274944635665,2771.631912198031,2775.6714348171035,2780.767076441576,2783.8420079917305,2790.535288862547,2794.6130073077143,2799.4699112223498,2802.2605014367978,2807.7313280902817,2814.805374418253,2822.7492075827035,2830.3819900748167,2836.0227741131307,2842.5602321017536,2847.257503679755,2853.5221702067183,2859.370650273061,2875.481565669889,2889.424309529612,2899.5406949860408,2896.952969893509,2896.461891144426,2898.2359663183643,2900.92531224582,2906.31141584468,2911.3070127667274,2917.3370906231285,2922.160363818139,2925.6194660211163,2922.590999720963,2920.4539141410564,2920.855673743713,2929.4240102805356,2935.7667942440644,2940.800422445741,2944.4204157941217
394463,3,"Chicago, IL",msa,IL,1405.8167793742364,1407.5960443901502,1411.7765768277054,1416.1573446851169,1420.5376941569893,1424.0601623157302,1426.8688613734896,1430.7878737490882,1434.060811107631,1438.6510800579806,1442.8053384417603,1448.35013902139,1452.6213227194614,1455.7009060786127,1457.9384414936635,1458.95916775324,1460.8997836925935,1463.2262912860285,1468.2915688949781,1474.248150771383,1477.3090853199976,1480.533464387791,1480.6225935257262,1480.1787742995302,1481.599205333274,1487.1464985005202,1495.4273256586089,1501.3344415785596,1505.8060822873442,1507.702204939303,1508.8769340017986,1508.547857908273,1513.0379262147496,1515.0499332207896,1519.1202963066555,1522.1865672370725,1526.2445299173078,1530.2927511228593,1531.4458602537006,1533.5281689611827,1536.0222567537148,1541.1804125493784,1545.8986034786342,1548.5519457367166,1548.4225398908402,1550.1382700225004,1554.6429173499637,1561.9902410606842,1565.8005283339514,1568.2310017425832,1571.2376816590875,1574.9926076020113,1579.0473375826914,1582.2827570513768,1585.7781262200065,1591.4529024845547,1597.5862300741169,1603.5013271581474,1606.957933367306,1608.8492478352293,1612.7406623867944,1617.009847351566,1621.16200358585,1613.0625787980566,1604.1936851437906,1596.6586519676025,1594.3151332750672,1592.217757327442,1587.778642661517,1581.8290684205015,1578.1099275670417,1578.860547766602,1580.3681486686362,1585.502842516765,1591.9302032496332,1607.000446286435,1623.0568339976612,1640.9954587739364,1655.951144486535,1671.0628736331028,1687.9063569803156,1703.098626504781,1718.7045628083422,1732.572855908624,1745.645521402337,1755.6316880322538,1766.1613660775597,1779.0699582439336,1792.6143417475248,1803.753260452939,1815.1996407479403,1825.2214651270983,1836.3258316051554,1847.2492957838485,1856.462851898951,1864.9924900985052,1873.268516996403,1883.2310910431054,1893.3559797261912,1900.1111232633818,1908.753193519361,1917.1212454589518,1926.3654057841893,1936.2495987034154,1942.5758841850186,1949.743534499266,1956.8897516918814,1967.695488494474,1976.841278486854,1985.1852157822173,1990.9526743276433,1998.9477113811572,2004.8252115934945,2012.4918933555591,2019.6077965004934,2027.8633201036944,2037.4517012425667,2049.031885012251,2060.964896386546,2071.6917998657805,2080.1918380565958,2089.8828257665054,2099.6994309748643,2110.406421080896,2120.0912466903337,2130.3603577914273,2140.420679505536,2149.689039734356,2159.451375031068,2167.322452716776,2175.360703657686,2182.7617878998376,2192.8900260809773,2202.2593244705035,2212.8140713225457,2222.2560987565275,2233.150404439337,2242.784094180931,2252.637940084224
394514,4,"Dallas, TX",msa,TX,1070.5867427606574,1074.2564399501482,1078.2350498788005,1084.4697993544487,1088.7261770125713,1093.7282698017732,1098.5023579850642,1103.069690877697,1107.9972462630794,1112.0672692211613,1117.2488513483484,1122.568184648224,1126.4623628209629,1131.2293381543889,1134.7913465040472,1140.003865692391,1143.3872084639543,1147.609856097294,1151.0906049377072,1156.003791858564,1160.473266529612,1166.214343065907,1169.5434017916284,1173.6526797820184,1179.511563594273,1184.033399919636,1191.3013814284466,1195.1049475145956,1203.023297374651,1206.389023102458,1210.7429549674857,1214.200279084108,1218.3564569402697,1220.163961368492,1225.485282660738,1228.8657874406454,1234.2189060515825,1238.5749945887355,1240.4026018965294,1243.587076654969,1244.2060084306622,1249.034892438173,1252.8615340854715,1255.830218366942,1258.116987111596,1263.8988364923441,1269.1756987501194,1275.7308156806098,1278.1394423155352,1280.2113164735133,1284.4976074808503,1288.903751939533,1293.5648571215654,1296.8967634244734,1300.5370254550267,1304.8226882246602,1309.210513142946,1311.6344371693904,1313.0437009211603,1314.107771512951,1316.9156351890936,1320.566404553489,1326.063163894802,1324.8269067025196,1321.465015151147,1317.0814814058458,1316.8538978058853,1318.8875894798884,1323.7168711912836,1330.5890327871502,1337.807129582949,1347.2945375222507,1358.4800620778385,1370.2654961471997,1380.0492471451882,1394.8711981675208,1413.3201421921653,1436.854563800882,1461.462940002529,1488.356578159948,1513.4971227769993,1534.8063322048117,1553.5293195690065,1570.5474553268289,1584.8090445990972,1597.4336993208688,1607.9097663990706,1622.3854640914913,1636.7555314933131,1653.821978373255,1664.2228735266654,1667.801844035053,1666.581999429836,1662.951962956254,1662.8655306118353,1664.2202277244196,1667.233184415023,1670.0876273684391,1676.5699964512614,1675.8957595715517,1675.679195511892,1668.85651135229,1668.375168282115,1666.9643717284782,1667.785473010596,1668.1636201322237,1669.5566386352968,1668.7174427202172,1668.340377310476,1665.848787734834,1663.0781346912688,1661.4778254739078,1661.0499090851654,1661.8684930891097,1661.6135253101163,1662.4393198623254,1661.8459743008607,1662.7142793766684,1661.3695169287828,1661.4592338867299,1661.5891621486571,1663.7719691849231,1666.2529676488562,1667.599102354609,1666.8361336529083,1664.7383335791606,1661.7607556595556,1661.6038625828396,1662.2256313583803,1662.3655271904108,1662.970538409735,1663.2044634227198,1662.8698837723146,1661.9894472816866,1660.3762178788472,1660.3697850800943,1661.3964557834115,1664.1046446910802,1667.0428024751272
394692,5,"Houston, TX",msa,TX,1226.5499163875736,1228.9659919531964,1233.2924063843357,1236.0310932971258,1237.628475494796,1239.913820701702,1242.2815770080906,1246.2304369680412,1247.5842847067947,1249.0556076400637,1250.4436444126034,1251.393483396878,1253.5540244330116,1253.384639537842,1255.2623390041983,1254.105630062679,1252.4322649087355,1251.1161716528377,1251.7003713251033,1252.8070938771784,1250.3586368863914,1248.8481944808234,1245.3839638168715,1245.9077354157287,1247.4099048860385,1253.1895385002454,1258.5530041445138,1259.6258773235488,1263.3786536990892,1262.7140273392959,1264.4062545950394,1263.5057997204106,1273.946740402204,1283.9109911493208,1295.6626393144795,1302.2357817168072,1306.1231115586559,1310.9375733540464,1309.8591912523996,1313.5931436364447,1312.0907951395252,1315.1988860397337,1316.085185566757,1318.9030793124134,1319.2859234026519,1320.9883834676393,1323.7391408140802,1323.8382404716667,1324.8859663969329,1322.2433358210667,1325.9984049564066,1328.8316754358996,1334.4415745936487,1338.5540547079172,1342.787236246183,1346.6582746513798,1347.6017340048418,1347.743263699358,1346.8178418416544,1349.8715636691409,1353.4807762228252,1358.7860427703836,1364.585979666219,1360.6202154299735,1352.8238168028026,1345.0616899352171,1345.5347042881717,1348.6506392758956,1352.3165552272394,1357.710436979891,1363.7073660426126,1368.0244843073626,1374.8133927004155,1378.1952737417485,1385.458040135294,1396.312155256617,1414.0858807216937,1435.2005568486122,1454.065882848047,1473.4147550534135,1490.0391770953418,1502.936282857172,1513.747574088858,1523.33142085579,1531.5664025444048,1541.6685673635482,1548.8981527849849,1559.9569788816093,1566.4379183498743,1574.4637435798384,1579.1102146553803,1582.4686866855034,1584.120273379259,1585.6731199311541,1586.5976508222843,1590.717625987158,1595.2601723465211,1602.0766197973483,1609.959419003383,1612.074592671867,1615.328871707472,1615.7168845549538,1618.0326160926543,1617.845614551838,1616.6780266337357,1617.8212597010088,1620.488311278625,1623.9514000242539,1627.434860151612,1629.8385864810912,1629.604173303769,1632.4225547737685,1635.151818834111,1639.8779773337635,1641.2665334890876,1644.4373057366076,1647.1470588776767,1650.3179994978389,1652.1513565264804,1652.8298554411078,1654.1649488321054,1656.8548425626288,1660.9062187302413,1661.5485159711616,1658.9500091651423,1652.2915519027956,1651.560404823249,1651.6932997294425,1652.7770218346727,1652.3180488951382,1652.0928118011038,1651.541858694103,1650.2862620320795,1647.887736542905,1645.5301195616225,1645.2724601487566,1647.3665589619338,1652.0396506878863,1653.514325974221
395209,6,"Washington, DC",msa,VA,1749.1531144748956,1754.6925319371421,1759.0207944892657,1761.2837864438459,1763.4879611043004,1764.7745328837852,1766.401592610181,1766.6603849577693,1771.5583633318886,1775.7352042702157,1782.3985973814467,1785.4975958735458,1788.3748737843764,1788.4418157263967,1789.8553242892317,1790.6151255351351,1793.204157095272,1794.7796168900068,1798.0663844293485,1802.465197479292,1804.4078425343967,1807.2508480073877,1808.3562762382844,1812.2424083107032,1816.492919168227,1824.8228887668258,1830.4070337828578,1835.6663450696967,1836.9539318510065,1840.604361343475,1842.476428367108,1844.3308514710009,1848.5829703764798,1852.779443200681,1855.6282053860643,1857.166707860904,1859.8479806059058,1862.5688199177434,1867.61724121225,1871.9439749761498,1877.3355772991335,1882.4846719954762,1887.761216339023,1895.2682814463508,1896.462114511284,1902.6507162343148,1909.9493523605597,1919.1411712301679,1922.4534401879107,1926.082186193438,1929.5749661894008,1934.0657103110614,1939.4121336695498,1944.0797485547196,1949.19035172215,1952.400427185092,1959.705338775624,1963.0044509518266,1966.3804896478632,1968.4721374050512,1974.4831921917055,1979.4969521000091,1988.9898391175784,1984.5170702952528,1976.024222546846,1962.1055448294303,1953.4419610348712,1946.8852011319314,1939.978646044617,1934.6487167100493,1929.1987441014148,1928.0279240075179,1933.4748746542825,1939.8822151856932,1944.3856162575428,1953.0997172434516,1971.2528218770256,1999.1094368557885,2025.5671195594225,2052.3030056777125,2076.0361158280234,2100.450045623088,2120.0055008443974,2135.1904433900777,2142.7422285330886,2151.7179512237212,2161.5921022786233,2178.108478700987,2191.7102839893914,2205.124522609265,2215.9853143849837,2222.3540933223835,2228.3999525118597,2227.668894788181,2230.941907322354,2234.3300975798184,2242.3952634994457,2251.5232464809746,2265.5249990004836,2272.0531703342544,2278.2022743484245,2278.1491798964444,2284.083127409636,2291.9322561701924,2300.8599803411894,2312.1100081114314,2321.93824405585,2330.4752050538095,2337.3725005187866,2345.3548794063045,2352.2436503291665,2361.6984909179505,2371.699508427993,2384.2484179349785,2393.3418985080857,2401.3975864725703,2407.8200292488345,2413.9749103551135,2421.233576290963,2428.9781912877584,2438.0045443080708,2444.5324473963665,2450.027292766195,2451.616716008673,2450.829525854529,2449.5352497601475,2444.812468774078,2445.4597666920577,2446.54801653149,2447.670873847465,2447.4906965445557,2447.1761753545234,2445.4622843215648,2444.3862772782704,2443.166503871683,2444.6239095801598,2447.461775842535,2450.4531929629575,2456.2087699622584
394974,7,"Philadelphia, PA",msa,PA,1211.698443578952,1215.2262411691515,1221.4007307687502,1223.7807461831248,1226.2778774154363,1227.1194570601497,1230.607892530315,1233.2787107747015,1236.9122675384456,1239.914083804332,1240.3699276147063,1241.8907049243046,1242.1931606726437,1246.7838186428353,1248.6609929761044,1252.99466980896,1256.0986987769722,1262.4166209396835,1265.1933449292844,1268.2993896682297,1269.2934840980886,1272.2021464941402,1277.5864716178057,1281.9414951396952,1286.3032645958765,1288.3800920523133,1292.4235737221518,1295.3502664709874,1297.740653782562,1297.3922632090225,1300.318298640366,1303.8041639829619,1309.087389893877,1312.6875874576267,1315.1678676496688,1320.4922809436562,1323.2440516263696,1327.8999935213544,1331.117400672615,1334.9219497466122,1339.6406236498258,1342.3021439680654,1345.1369676697495,1348.575252884743,1353.0341670709836,1359.0997983279062,1365.5348022987662,1369.4028860108936,1374.1823890817998,1376.0547980329875,1380.770577258081,1385.2444237281836,1389.602970619382,1396.3634589905096,1402.0740184568867,1407.05513211699,1410.8244515236106,1413.8581433419174,1416.8209963327602,1420.63454934134,1425.1952211970001,1431.5027990194658,1437.7132084694356,1438.3898513340248,1436.0089982668921,1434.2829337363376,1438.3702070397235,1440.868482548195,1445.821667204248,1450.2058708466968,1455.359018615456,1460.1371704532446,1466.7978236825486,1473.6770055419606,1479.1858532005692,1490.4110162107963,1507.0475805042918,1524.7217683936808,1539.8066589648336,1556.598659873936,1569.9803928571448,1585.237557288491,1599.5716922481226,1618.6477001021676,1631.6401305019403,1641.5696955337223,1648.93606764802,1658.2744472416016,1666.7235615820919,1676.4821684602657,1684.242231407437,1689.4409585499895,1694.0541595240422,1695.5178713279827,1699.2179071566363,1699.9854166945975,1705.8184083242836,1709.2257308800502,1718.697105495985,1724.0230822560588,1730.5035252365506,1731.5960481759528,1735.6567883440139,1741.0135953673275,1748.673250908584,1755.5317307217,1759.0636765486342,1760.855535116362,1763.7898717220767,1771.1777821742874,1778.8854787239738,1786.0675157667613,1791.4879272124253,1796.9435821421312,1800.024384415687,1804.114915865019,1807.2232829360512,1813.5371186466966,1820.318365165856,1828.3228020802849,1835.1453867896334,1838.459916179402,1840.485845089796,1843.332379741814,1847.1453488844036,1851.1921272321101,1859.1061282280796,1864.8723081764376,1870.4696319487805,1874.5213534837649,1879.3646333003217,1884.559620015277,1889.254502281689,1895.0873892582404,1900.6680939206638,1906.836207572035,1913.054343460389,1920.241916624237,1925.1055817284494
394856,8,"Miami, FL",msa,FL,1468.3883491415065,1476.7476485167135,1483.982448153446,1491.2265102516433,1498.2737691706325,1505.2705649004474,1511.7238459842117,1518.1429805288178,1525.9599091250739,1532.3541782059099,1540.9755117805157,1547.3676718246404,1553.0925910320643,1556.2876048941307,1558.741344520816,1561.3169463103386,1561.1442237172485,1561.5609080964568,1561.9272563472198,1563.4103093873434,1565.4190379290246,1566.7712320414248,1569.5790008549493,1571.1767194619335,1577.516223992796,1582.649550090086,1591.3425490560585,1594.1564109065764,1597.086230655806,1599.8575113228042,1604.1431327437758,1610.0065890807737,1614.560458607055,1617.7063906491687,1617.607171572775,1619.8602417117847,1623.9316124727318,1629.0210339943847,1633.1882524850434,1638.155214667255,1642.5856073325408,1647.963960794355,1652.3978962691237,1658.055983662459,1661.3643443648,1665.768581669724,1669.4799500864394,1675.064978715656,1677.1061414702433,1679.1891770451539,1680.5811936392265,1684.4215281620548,1689.3669991886065,1693.6976518964875,1698.210419237331,1700.9152529131243,1706.0950850200627,1711.450143164224,1718.7791807700926,1724.0459924796983,1730.4808956274603,1737.0180003654023,1739.8672256489942,1736.2398612627487,1729.7362638934835,1727.6247694307228,1728.1122505276153,1730.7161794329438,1734.573077771538,1746.7609409247586,1762.1666389205855,1778.487135779065,1798.0062498731602,1824.0713784413713,1853.495987966492,1887.6495013203105,1926.949954715688,1974.9780212890587,2033.0237579877737,2093.312793917014,2149.702373531059,2193.2932200028463,2237.2147337465067,2284.445133123627,2329.660687746402,2366.3526836133033,2402.098154930683,2441.8607648530347,2479.1488391551575,2503.5779748406685,2516.7017057728644,2521.346825977609,2528.402959496621,2535.0351657840956,2543.4728847553315,2550.045472450792,2555.0178223082266,2559.5064451700123,2563.275554790725,2564.83149817549,2567.078467718005,2568.693639168693,2569.747315155505,2572.7117455793323,2575.791231310143,2584.963061020058,2588.608802718195,2588.3585392967784,2590.484801329084,2596.728318932156,2603.9715762085357,2607.4482533465703,2608.3832361644663,2611.5268750754303,2615.408391183757,2620.222289456257,2625.2602606317655,2627.0919886497486,2628.5366592486894,2632.1586255205975,2637.035359462372,2639.6080744327032,2639.4756001295364,2638.1455745327094,2638.2625653557075,2639.464605017686,2639.3239570486253,2641.51694162731,2642.634813048024,2643.33385711471,2646.1963159109764,2649.2113983164813,2650.3170512574106,2651.441490304441,2654.2656334418803,2660.151550308336,2666.1837075852004,2670.9515334029625,2676.9909869911608
394347,9,"Atlanta, GA",msa,GA,1008.3082539215413,1012.7984343106468,1015.4852705958982,1021.3310299539555,1025.0959715794634,1031.8506297812835,1035.8713328032463,1040.4935180165926,1045.266814379211,1050.4257318836321,1054.718290802701,1060.0121201145437,1065.078277207548,1070.86671298353,1075.6608813850214,1078.9997020844155,1083.3751995287835,1087.8088636837688,1094.1902650058807,1100.3930967345884,1105.5823308141546,1111.6059207646601,1115.7048361438378,1120.287699181306,1124.8182053042556,1131.2221513066347,1139.0759427929097,1146.186232556416,1153.8404472439513,1160.3125168130823,1167.7824900756893,1173.3463169681672,1180.277202682709,1182.4131694860123,1188.8013744485374,1192.947422638042,1200.9350972122666,1206.8396963006282,1213.1422000551886,1219.6547743339108,1225.297377032371,1230.6399173992993,1235.659238141656,1240.3409395116398,1244.7634369630398,1255.7469213314314,1265.6451664195652,1274.6899204999224,1279.7630861176044,1284.6738286363916,1289.9241005369431,1295.5127514203693,1301.2933341208202,1307.744104261239,1313.472786850685,1320.3326325205169,1326.715823857133,1329.9529782792622,1332.0869636899092,1335.7216714402177,1340.2587833550929,1345.3284863921929,1352.437672031655,1355.2602054393737,1356.7833894070693,1358.9348706356466,1366.865142108843,1375.8537310021723,1384.4075816092045,1395.2945606340431,1408.4735497968122,1423.647795281032,1442.1937575456311,1461.3592059144087,1478.296539116178,1497.7718782221832,1520.0925609910419,1550.440020471124,1579.667799749548,1612.9514058341492,1643.2833851411258,1669.9015494865064,1688.1578562780333,1699.3756048275723,1707.8595095415099,1713.7237942133927,1722.3920994092332,1732.763482805067,1746.8051207066262,1758.249321678205,1767.9946575207464,1771.8311470492654,1773.4562639751484,1772.6429602366125,1774.6544725564745,1780.8602356935728,1782.7617627563595,1785.9716914673772,1792.948356291588,1796.935816968613,1796.9585233814764,1789.4822353698614,1786.181703369124,1781.171047507784,1778.2443675230566,1775.312851190612,1774.6144597043333,1775.2802092189952,1780.06367967905,1786.1292080980613,1786.8497401863654,1788.2034129409967,1787.7649213080085,1790.3029457869038,1788.536889144802,1787.354745124976,1787.3892623498496,1789.193567935899,1792.8851651918244,1796.338805102562,1801.2321244751445,1808.1159484276466,1813.4717911475027,1816.0195040765934,1815.4417018886288,1814.901090934902,1816.6909798801603,1823.9223499130883,1829.5754905888405,1834.396644017331,1836.3625513323132,1837.2710339539863,1836.1389207387178,1832.900082112551,1832.8321290116864,1835.3902171434086,1842.0446654218597,1848.9311909040725,1855.397132025217
