RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31,2026-08-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1691.3196213780643,1703.3066445609215,1719.9137998559484,1734.7416341011005,1750.7411977703148,1761.3123596623248,1775.1457258885237,1784.5997840068485,1797.839905103266,1802.6779246997953,1809.4605170259035,1816.4583281838372,1827.9984215303998,1839.0884489332966,1852.0536820083692,1863.6840029995808,1877.4104295029558,1887.4982427932405,1899.879542520867,1906.9237045790267,1913.3194241821643,1914.991116389513,1915.9712155615603,1920.2919086733252,1935.0797686850833,1951.6754203813814,1973.233729924445,1984.8080863633625,2000.927438537,2009.2275530566742,2021.071915578207,2026.1149680775134,2031.752092791165,2032.3898308127839,2036.7950221189813,2042.3431801372667,2053.2912798561556,2067.2812882238322,2077.013320096761,2086.626222479652,2094.7668515799733,2108.4528575934132,2120.8827418957235,2131.1517456034803,2135.1341838532567,2138.4718801817407,2143.306236516799,2149.1394619937223,2153.9014898573114,2157.83148718845,2170.5448213968793,2183.819335144098,2197.1158415345244,2205.914048983515,2213.461723434732,2218.842881770015,2222.150440401682,2222.908515767656,2224.6000956473704,2227.477109842132,2233.546111484878,2237.7760337061336,2238.6097110517826,2231.371837586487,2225.4727294999298,2222.747167194478,2224.545437432467,2223.1345114871006,2217.38369616104,2212.4969788454523,2209.891536798512,2207.9025788372064,2214.908778009142,2222.867553594181,2233.8061658947922,2242.6854862238183,2258.684880950395,2288.3371398703407,2323.78617121112,2363.819085736888,2393.6187748601124,2414.2767659892047,2426.143751132396,2442.9537193570845,2460.9716207770284,2486.0415155685914,2507.8939485889005,2534.675496354426,2555.830992820824,2576.3938091992195,2595.4478253104116,2610.9676575111343,2620.805898599027,2618.4476893601727,2614.6271637760983,2609.9414460764674,2611.976823188287,2618.868089759988,2633.833614209139,2643.360281829057,2651.5490868419347,2654.3273098056434,2660.8550944781045,2666.488423857819,2667.1678629475728,2664.0593746730424,2655.401326610195,2650.3772761556565,2653.7191414312356,2662.3582081615773,2675.0672305476674,2685.3257411415625,2696.0225102374716,2704.9217592026257,2714.228309556801,2720.0557026943306,2724.95494770581,2722.351492708354,2718.367587206641,2712.9875640246137,2734.6370379642603,2756.142755294762,2777.049525559293,2772.3427877348227,2772.5245509075885,2773.918552734554,2778.343178059998,2780.258035995863,2782.9140970387166,2781.9757539966126,2777.261821265293,2768.419609415711,2770.4063555661787,2776.6001444068015,2788.838433717669,2797.1345562611637,2805.343572216669,2809.821697205109,2810.3090648919747,2813.61378284621
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1413.1473998231781,1422.7611648321194,1434.3467505759525,1443.829171583328,1454.249031318163,1464.456249857113,1469.6233670426518,1472.2420706402972,1466.9780112387648,1458.8571705873162,1449.2323207220832,1448.5326409030488,1457.908790437385,1470.7415376418041,1483.513784604234,1491.8549175013504,1499.9593304289997,1508.0450852327633,1514.670658857547,1519.2034820912386,1512.506687468884,1501.8600140887627,1487.9725855059453,1480.9087625991588,1486.893693263026,1502.1568679406407,1522.4254569668549,1536.5030611666757,1547.6819786718254,1554.395404387575,1556.030286301309,1551.3897327596576,1543.9647300152758,1531.3080965862923,1521.1776878979192,1518.5061527992148,1527.9638121014016,1542.9141411094731,1556.016353527454,1566.5035843230544,1576.833649457352,1586.5627688950347,1592.12341398804,1588.8947505066558,1575.675146416047,1562.29351762541,1553.6786002728052,1554.4666648048158,1563.5965345295904,1575.6169630736865,1593.496092147876,1607.9213088689542,1620.5844614300872,1627.4723069862177,1630.1598489430075,1630.3863281171039,1624.9126569508767,1617.065699595781,1608.272968988336,1602.849675371176,1612.1302998165966,1624.6772623413676,1640.2513076235766,1641.5999056738826,1640.5462775844044,1637.3755743029471,1635.0549218703438,1626.0670678738054,1607.2437686485937,1580.6212752307927,1558.8005827030668,1551.0189019188226,1554.4700789337896,1568.1776023290297,1586.0628588445572,1613.5887036598526,1640.7609196739666,1665.8326698599553,1682.6638356715061,1692.8387135725445,1697.1520851221762,1695.2460233202198,1694.2505707701587,1699.9117995440663,1714.4616730069754,1731.9098595778628,1752.9528186753655,1777.2618645570578,1803.220503892397,1823.1888962369885,1838.1221971637585,1844.8111925507944,1844.1051241327707,1838.6005148148831,1833.4736012574174,1835.454045256619,1844.5158197268825,1860.1097691477207,1878.3052155774674,1897.3688537627656,1918.180409124455,1935.6502248557972,1947.306161073734,1952.5543994596846,1946.9622832064456,1936.5824963165996,1928.4318514914742,1930.753318069711,1941.4433328161458,1957.5637229466329,1973.9732306149238,1994.1031843579515,2010.755794458426,2025.940733688285,2032.7818315444194,2033.6849374892504,2030.2923421177652,2026.9143909218337,2025.478376048809,2028.1264385699124,2039.2306224417732,2058.335863280926,2081.7144192518713,2104.4829354002363,2125.942345881805,2144.6976200031445,2154.6152979140993,2157.2700196093942,2154.8428346142778,2148.8521395511843,2145.211802531737,2143.5767030216743,2157.833609342897,2178.380298925338,2204.529783805281,2226.6409901516245,2248.0185809941872,2265.657731102374,2274.610761368752,2272.116754505009
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1171.1442716583247,1173.5800488483042,1178.8279958298053,1190.0199809879434,1200.0831441628463,1209.2598171808854,1209.1400571662482,1210.5590537886103,1208.6031910927566,1206.4937270190537,1202.9034044765308,1200.2610135151403,1201.24239936661,1203.0095804944144,1208.345470282106,1213.989432752451,1217.8432721984013,1219.2339248341802,1217.6563354921518,1214.7922248592633,1209.5210001510623,1206.1680059815556,1200.8254822682895,1198.571214534811,1199.25934749373,1206.8280101587695,1215.6890912748463,1220.0300324656275,1227.3864284145363,1228.0129660371776,1228.4288934570013,1223.421201022008,1230.383771736272,1238.9307227952386,1250.36730880049,1257.1420015907172,1259.3712785697683,1265.7326783741637,1266.3586067558474,1274.6358133209199,1276.63964535899,1281.5751332849381,1280.3815531619512,1278.1234025823703,1274.928709764842,1275.3837662699532,1277.9097617263299,1277.6050369678271,1277.3538102275427,1274.3924754460768,1280.1705439036355,1285.4398921321292,1295.7305355073954,1302.4319239007505,1306.4763172283472,1305.9467358300458,1302.4298306194391,1300.9613790881558,1299.4963963080752,1302.9374689739093,1306.2567671647355,1312.342358568915,1318.2537675015067,1314.8072485091172,1310.3383904403436,1305.6700190918282,1310.4060145944766,1313.765636213744,1312.902252317224,1312.253343677415,1312.1339521154769,1311.8254120668546,1316.800533496996,1320.946153055529,1330.0280270185535,1341.9726097292896,1361.3521155990757,1387.6103187456006,1410.7103073316318,1431.760655609593,1443.2573757866935,1449.7478301128322,1452.4880317939687,1455.2202755148196,1460.8051881366248,1470.9479119259568,1481.560162044756,1492.9156528733085,1503.83069813705,1518.0297600872277,1529.9902772244454,1536.5110297929104,1533.6042020048797,1527.9175846219277,1519.2857122838461,1517.7243488556583,1520.2658927372115,1528.6082661264936,1539.2916366762058,1544.493199605438,1552.5852630707755,1558.9036775714846,1565.2055499978883,1566.4443390120243,1561.921099323541,1557.3275978102643,1552.008504297475,1550.9340901771182,1552.3744372139042,1556.1685606548967,1558.7623352618214,1564.9922849177724,1571.652705940726,1579.0726645296088,1582.5466399094514,1585.996569004354,1587.709772077806,1586.052265310953,1581.4208282479867,1577.8176255407795,1577.8860102965828,1581.4324577904886,1588.719317618365,1593.381326338654,1595.0852010461904,1589.094010214172,1589.2651503982706,1587.7029788744676,1588.8580255216402,1583.2411904302332,1577.7965222597184,1572.9482864322094,1571.5956040062895,1569.417909796929,1570.9195673271759,1573.801842660274,1580.3317388229534,1584.2512401424692,1586.397071153745,1586.0947053965956
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,905.4944562065874,920.0340654529067,926.9628287354817,939.6517902075515,939.9968253476851,947.7784155372605,947.9412517746869,949.0886412809332,951.7425991896578,954.2323049289598,957.9081243380193,959.4026248808838,964.5406259533341,968.8832154181767,975.8324834737132,982.6357598181683,990.6165891210362,997.4784750214577,1001.3446273151382,1003.1294553288025,1003.9306398483335,1003.5539095950754,1005.0568223134103,1006.1166986675845,1012.48136999384,1020.6418765251477,1031.9552134748235,1041.2576827503526,1050.5722049868903,1056.7967082679454,1061.6050999683168,1063.6310483367097,1066.0050209168141,1067.6748049733771,1070.7768792788613,1073.4175406009263,1078.4587485442355,1084.1991065517252,1095.8688844650899,1108.8953052914019,1119.9732557581467,1127.7952677134165,1134.6980606642758,1140.1792285391446,1145.2210735895164,1148.7660505303868,1154.6693976501228,1160.3173864106184,1164.379401040769,1172.5081418242614,1182.4495958880523,1197.0967837596315,1208.1676921624492,1218.1453303602498,1225.4196060925794,1231.950894441125,1236.0480899357092,1239.2522357030082,1244.6206206894565,1252.8647423035538,1262.1253710367043,1271.6222911772304,1277.465980958943,1277.5882004342145,1276.7152954229568,1280.782065794217,1294.486099637595,1310.547831532442,1326.0694117789274,1339.4744746569336,1351.293173688213,1361.1276031826872,1373.8614101995104,1388.1372343193707,1410.1064496687654,1436.8463001597513,1474.2483473895024,1516.9065359361448,1562.8721407510184,1603.6939072863636,1633.5799497438131,1654.129307581524,1665.66029610439,1675.085465127486,1682.9570283031555,1693.4593313251721,1706.7212538224428,1718.426494298336,1726.2995700891852,1731.9358442913192,1736.5723033124498,1737.0331019681503,1728.4513581029544,1716.6546424422525,1705.7050973851387,1700.6856492347245,1698.739187141703,1704.1589177060366,1718.5484740652337,1724.977850852655,1728.7743485869319,1724.6668424055547,1728.7091174663988,1727.634109412009,1724.1621051715767,1715.2081249689147,1706.3315965602808,1699.565724814726,1700.5685945330824,1708.0110758104956,1715.7361339630731,1722.5143206205719,1725.8796607748445,1728.1622184183673,1728.93846749274,1728.004026140052,1724.7121713697093,1716.1711776865266,1707.5822908607354,1701.4265149091702,1703.8279173091385,1711.6786222803446,1719.1248320195448,1720.9872820664618,1717.5046623991614,1713.6233116947594,1709.8990060261283,1704.7484114274462,1701.4967589301918,1697.2276303397568,1692.043102768016,1689.654429835788,1690.6704362853532,1697.465745116336,1702.3061378083921,1706.189017674847,1711.2336709445215,1712.1108557265989,1715.8358622180906,1716.6634179264108
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1628.3188344917316,1639.0557887401037,1648.007787832197,1652.289001139957,1663.502887653479,1671.6928593560394,1687.5345753509994,1697.354271872697,1705.5658780480835,1707.8735701167793,1707.1374265148772,1713.3398562017928,1718.9039310528144,1727.3659985881504,1735.3790522520924,1745.406521015698,1758.4846692521369,1774.0255396593157,1786.007112568034,1793.5740533350274,1795.897344912966,1798.4032975949788,1798.7287604048045,1800.8419469825246,1806.6219001226361,1822.337927749662,1841.610656009152,1860.6730092143696,1875.8894992693342,1887.396099105806,1898.5559157886967,1904.0878006692615,1906.254032869055,1905.6092041810819,1906.0909529293035,1908.0773672332318,1918.0305201868841,1929.077005736925,1943.4137287922824,1954.6597365481348,1970.6637119683605,1982.1411221615183,1993.715749229933,2000.4883966363188,2004.62878170126,2003.5343445472026,1997.9067160834727,2000.944464934975,2005.1354489975242,2012.9729033695264,2018.4166765668886,2028.6357791779485,2041.7939078833347,2053.958231516652,2065.5090779641746,2072.513501259626,2074.1845284099772,2073.295412019366,2073.8453520930966,2077.714934838586,2082.317827473252,2086.973617768004,2091.139000074732,2084.5889390124207,2078.7883725815745,2077.60508696043,2089.1394748389516,2098.664985398049,2111.2845756071747,2124.905628413972,2138.081332909424,2147.37772447549,2155.9544902792427,2167.9391056620775,2184.330166841467,2211.3640080076243,2246.75316745152,2285.7069902935787,2334.06786065453,2384.871573140175,2436.933385860825,2467.261363544095,2488.3443121444766,2502.2864536217676,2521.6263068768444,2547.844396813742,2579.071088467355,2621.7833970148736,2665.1374488057136,2708.778872740084,2739.4002147821325,2762.5123708279184,2766.2913402850986,2759.7576003316526,2741.4688444819626,2732.8936581886164,2729.451074344053,2738.8644557586313,2764.5704597453373,2793.5337511863218,2824.4113025191537,2843.1243517324756,2858.9483503346364,2865.0212308449727,2862.2318564430775,2848.6146764401997,2827.4601192038804,2809.3127230750356,2802.0680383118015,2810.9767452788333,2826.2885524618896,2845.0515292683963,2861.501502285233,2877.0333872619003,2886.4566171934116,2888.417857188615,2887.6062828267686,2884.822373278256,2882.0319346887886,2875.235996816299,2877.5235423660847,2885.7692251005346,2900.7899894364105,2910.4458870468234,2918.559319573033,2926.972143282453,2931.33328324504,2935.553705915172,2932.7711652785756,2929.9442325414966,2917.657209212378,2912.1308387496188,2915.512634335055,2929.541138188585,2941.6887631589434,2951.7871757230364,2963.4435891976095,2976.321174169854,2984.436365131936,2993.631599920314
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1863.526127950784,1871.8178953147974,1882.499719997805,1898.9138669080057,1912.3482509770427,1924.8546377415412,1935.3299420629444,1947.781645378075,1950.9053028745645,1955.9118054022629,1955.053900914421,1957.9704478393937,1963.2871400935105,1971.028858723563,1976.4698148305308,1983.9202926175979,1998.3321312463945,2016.378562439903,2026.5410938222328,2029.1243810611847,2030.9618131545292,2027.7174531799542,2035.0401223302704,2031.8957308912773,2042.180998701298,2052.774178533664,2076.0975639435483,2094.1831176821115,2101.304892240547,2111.638457892541,2117.740019054602,2124.8505179859,2125.736829354508,2122.242003092949,2124.4764387576574,2126.61288507774,2138.538756282909,2143.815131929604,2155.136360924719,2161.1226013983614,2170.573192838729,2177.446498598985,2183.196988448505,2184.2812305967805,2184.964597396815,2187.473036321888,2193.930098006787,2195.9788477017746,2199.263799027288,2203.6902066176735,2214.3826675705604,2220.8888161327022,2234.15089374093,2243.3746697863344,2253.5685724206483,2254.2647461715087,2253.859928912416,2254.06067770067,2258.9484793129386,2261.110997351404,2270.4394672838293,2276.1778206469494,2281.853438922365,2267.1359940637335,2253.929011837494,2246.522264654059,,2262.251774847585,2275.15577970173,2287.9429268355448,2296.938793423322,2304.2683988317035,2317.982563977583,2338.5306013873287,2361.1327944277946,2382.1608884680586,2410.2482834699654,2455.745351272654,2523.708298798503,2605.6596122729625,2675.154876444919,2715.407979645911,2737.805053075413,2748.996531746238,2767.2537207257765,2787.1263951612373,2815.409090768656,2850.122447601715,2879.560489094961,2909.896587213602,2927.286845296762,2937.2509202179403,2931.4464119935765,2918.4216329601286,2910.9449955295613,2895.6570573512677,2888.131412658629,2881.9887154503,2895.0805010235836,2907.6897414364435,2925.146355367999,2942.969215901884,2975.367978560012,3000.903032639134,3013.8273046269096,3011.6314948537038,3003.7446913808985,3003.9042883752318,3002.456825861841,3005.8263120697347,3004.7600957558952,3010.2671354224503,3020.7923676685814,3039.3565213509205,3059.3373978644563,3074.3152630717905,3079.8129865747187,3079.4985762182273,3071.8840468142494,3065.58498153365,3070.629847633082,3083.7562484337896,3103.040189393545,3114.1995098124958,3124.9840238333163,3136.2556770497094,3140.6441247231655,3150.449085712263,3154.284378803804,3156.2859149706846,3154.9425707538044,3152.8978652586707,3157.061122675791,3163.7295512223122,3176.956608163561,3191.2591639148163,3202.871525164646,3213.52633693023,3225.591859422511,3238.962923108967
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2343.9038778877957,2362.5072889657326,2387.8689624624812,2406.4669013893767,2429.897736116259,2459.958103847593,2477.5522253365416,2489.4771402896386,2506.734390895553,2516.7139811380025,2506.833359902763,2479.780530855834,2469.1290834922347,2468.8838561838606,2487.478050158899,2493.7078753439187,2506.9120378167286,2518.01870149103,2537.8918297834143,2555.007614476173,2561.5083739855963,2557.9057056057027,2560.026043158428,2546.5430168223265,2536.2001233184815,2526.3225454396947,2531.999654241577,2547.794782172602,2560.744781533252,2576.9849717824445,2594.1707660651055,2606.550139417246,2606.201573261765,2588.7107789375464,2569.690136036787,2557.952076872358,2557.019369741929,2558.011625351216,2571.804331498512,2590.2358659194106,2610.9453145133875,2626.319050354933,2638.2728107315593,2649.376570260912,2651.8516197435065,2643.658971240718,2628.4488381912174,2610.8365653648475,2612.106996348604,2625.2772911744987,2652.9341852470093,2672.3535266134613,2698.7439236544133,2715.3173735403116,2740.475852322414,2756.3786538718177,2771.6337603019133,2775.136957015364,2771.8776403295406,2764.9407407088743,2765.5835224124585,2774.451980439819,2790.3328488750117,2781.7659978235283,2763.7153563557645,2730.843325258588,2708.396119311716,2669.8598007319274,2622.081409756561,2575.9733438700127,2541.1484966508,2522.418255843147,2514.4651295565536,2524.0611009209474,2546.381401183905,2580.4415309584206,2620.585925064249,2674.3418055391307,2732.1216214494384,2790.1644804869657,2837.419366209643,2863.7412490948054,2884.835377295003,2897.810931017206,2932.6458438893255,2971.4578377235807,3024.048266536309,3068.1861460138393,3129.1704413420557,3192.428886686455,3254.08222736226,3295.628522182746,3305.6962205265686,3298.000266467053,3257.7344707772545,3226.050461157802,3219.5218138932278,3235.3023035512224,3262.9677873821397,3292.1839776260854,3329.415977593558,3368.93136610406,3397.800341293798,3416.346766755863,3423.2557832147963,3404.795562650625,3369.523151629011,3342.115167512142,3343.320634013153,3370.366268121806,3402.408159257443,3431.8402383959487,3466.718301490408,3502.117618256537,3527.1094339873443,3531.858095158584,3519.2580260353934,3498.129124733804,3476.0091565936823,3451.8789921881503,3452.2464458091727,3474.257269287488,3519.1750069052773,3563.382403319077,3602.21103016508,3644.2697171627187,3673.115463891681,3693.8743571553605,3684.648232176276,3666.9442713631497,3635.1372366126975,3618.566411907349,3624.8366200682376,3656.6370574062726,3699.707273524919,3738.777382805096,3783.761120617605,3821.232156271787,3849.58525396272,3866.5809848417325
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1608.415231897079,1617.9907225921638,1630.1205742063814,1640.6529949651676,1651.1569344480884,1658.3285313363426,1665.74496726762,1672.0851601144511,1679.0061597117015,1681.153150425507,1687.7270006142676,1692.8014367910807,1699.8816227303128,1703.0571286212992,1705.6107027769574,1706.0019281833688,1705.9363030247812,1704.5595919056884,1704.6094688794208,1701.0439652978657,1700.325031829026,1697.6064989105544,1695.6941060917295,1689.3648810086218,1694.152499264615,1699.529440723495,1711.5241682078772,1712.9841754563856,1716.6916893305802,1717.7598288315237,1718.3675283637103,1720.8693476667997,1723.6776064475475,1727.8736128754813,1726.8106470702357,1727.1150276705796,1729.1681536454737,1734.1166005536425,1739.237484174791,1745.019407497891,1748.4309114531297,1753.3786871245616,1756.5073551068558,1762.3321494841846,1765.5664766791597,1770.7915434299134,1772.0445633248812,1774.4188592680453,1774.283223940189,1773.4955583114,1775.930172440875,1780.2070960825104,1788.069656183864,1791.7710434841822,1792.041826879809,1792.4207522746624,1793.3731089087257,1802.190483558629,1813.633482711223,1823.7174948737822,1826.6046620583638,1828.7249805792294,1827.9556570407465,1818.8391055819172,1805.621812034369,1800.124772755153,1803.1181785153096,1803.8222068929288,1800.8898819091285,1805.473531653639,1819.9523196732039,1839.220144047532,1862.4939378168815,1896.8038046579768,1932.5742412981426,1973.197781018511,2015.2162721756517,2068.0058156171435,2132.737980381911,2191.5543223062277,2247.848562027036,2289.6150352568193,2336.043787715864,2387.9274152110265,2432.643464794733,2489.6920517219914,2541.1701737033645,2603.5018735514286,2649.4116145671924,2683.172952413628,2709.2161020697777,2719.4632612558285,2729.2316025942273,2726.54593394728,2724.0648010607906,2724.613799071311,2725.1350793466304,2731.26951980792,2739.0681148978892,2749.517756777142,2753.459301894502,2750.5826217542726,2746.949529821399,2744.950334707526,2742.67631029763,2744.544295499692,2745.832609897785,2743.3826311555913,2744.340164678431,2753.168439540126,2769.4947314896112,2783.498891840536,2793.0812284046833,2795.886812691224,2797.173894853537,2796.29948135855,2799.590838374071,2800.294127912128,2797.672629947602,2796.9565306041177,2801.2871585690086,2808.7447460708827,2814.108643622964,2815.467246917894,2819.5199222769324,2819.928443034086,2816.4833825265846,2807.082173688264,2800.3705345921926,2797.6098585909317,2798.659535932356,2797.159102074555,2795.566154574674,2801.3280273789146,2811.071830278992,2823.1118094578,2827.7994315146475,2832.6394271556464,2835.2761607479183,2836.8452199637763
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1021.8293801578437,1023.6349679420041,1031.5098080691612,1045.6786248685462,1058.5501061810567,1067.7161775236043,1075.682447997763,1078.4248115455403,1081.3843508896628,1081.0248778121081,1084.862363886644,1087.281679361705,1091.5097485476979,1097.0979925707886,1103.6544071992314,1113.9256591888227,1122.0455295987153,1133.3385953909767,1136.4780603360737,1139.724612467252,1138.0673580543078,1144.9099341302558,1147.4762535880227,1152.8847436756255,1157.863582402798,1161.7202716155352,1172.4233722867675,1180.8593904282034,1194.9205984746693,1200.8103824360858,1205.383610801805,1204.9118706421782,1204.3943318396675,1202.5414056153554,1211.4432687696897,1215.213420443399,1218.8951350304571,1224.2538740292127,1226.8685707186382,1232.0368511248846,1231.7172205062188,1244.0193046642648,1249.84385792334,1252.5394081927166,1245.0003369898088,1245.3580046138634,1247.7094818096232,1251.8097372542102,1257.7109005323591,1259.4694305657756,1268.4621684092415,1275.5472564844827,1284.1191945743697,1295.6868096215187,1297.972664145168,1301.3850307311561,1299.1357845864998,1298.6777135692253,1294.5892261378297,1288.94603267005,1292.5325249509679,1298.316821553182,1304.9624215711415,1303.0932060577022,1300.7631703126071,1300.4229103045925,1301.6838081357678,1304.2439006389247,1305.423701842872,1307.5196408225931,1306.0538027940115,1309.6311167335286,1315.580947319051,1328.4498681855016,1338.2841375296105,1355.4864206213,1376.1681171706236,1406.2591799877875,1438.1770184619838,1468.3430311866023,1489.893267276714,1500.784032629202,1507.7493268302853,1515.1857087835433,1527.7269244329718,1543.5910419431484,1555.6195480441754,1573.4511849859314,1594.309363000473,1626.583119584464,1648.049372939646,1655.5449658270343,1648.5237693634233,1632.1549332835398,1620.5752792295716,1610.6561995377522,1607.9865306281342,1609.8222529345078,1619.2472763630765,1625.0978040305142,1631.8501757889658,1635.325055430191,1642.0169123747994,1642.4779487795554,1638.3394080612993,1629.7013242291866,1621.385110961927,1611.666003735798,1607.3495529839115,1605.86884146529,1606.676174186724,1611.111654033963,1615.613358025883,1624.262295613617,1630.3450737221126,1632.9518739850416,1628.5807215382936,1622.3561010252652,1616.5119476663085,1611.0781875768178,1607.166998645898,1608.1158017680316,1614.354662622173,1623.6105615374754,1627.0244249004706,1629.232161017134,1626.880587285869,1624.293847041517,1620.4050223319177,1617.7011203914046,1617.2026181504862,1613.2730574658917,1610.0661156008698,1611.1880086070257,1619.0259023682331,1630.1910253570045,1635.2276961394386,1637.1172372333567,1635.7372794949436,1639.4343795036355
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1330.5740008845964,1334.5919567067215,1338.01873424172,1345.5489932259381,1352.4086946463171,1361.1114194757483,1370.949400882925,1376.2761906374374,1383.8695199531226,1391.1030501954858,1396.147957185904,1400.3850557545093,1399.3908825783465,1408.2291709922897,1410.4384282488788,1411.8593356553038,1418.3771365788996,1424.0523967499514,1435.8663198497284,1437.732215013434,1450.6997755242714,1452.7849691175704,1459.4820338607597,1455.9281634603344,1471.645425594574,1481.7224626692237,1495.8086031789492,1505.2861515844945,1516.0518173527682,1527.2708372783386,1533.6827145677469,1543.5816275067377,1549.2783492426065,1555.6646683046165,1560.1832179382154,1562.2823847713141,1568.5029009945602,1579.1361330363297,1590.659106534385,1595.1991050124984,1596.6537818901638,1604.9543795622558,1615.5072161396552,1627.2013541187619,1636.8228399164984,1648.4304173792368,1654.4258839610561,1659.9301545737487,1659.711844771674,1660.974219889465,1669.4819619078635,1680.6795144328348,1692.9786951970354,1699.117522912405,1708.4942833439509,1719.2248625527232,1724.0351287133406,1728.7036126589956,1730.5172840258554,1736.7040785017857,1740.3686923810608,1747.188662555955,1751.1627851268843,1749.2042368690616,1745.9991128807624,1756.873501245723,1778.0012590093797,1809.3396292602788,1835.030547042045,1860.3212804026323,1879.2652275090193,1900.1453447336667,1923.5355815926694,1947.966967285927,1974.728509757569,1991.5767564598757,2026.0741912464573,2062.1464857734036,2114.569347895352,2156.732200349905,2196.5699840864445,2215.6434145123308,2234.301375051498,2235.7325363389677,2256.903055104945,2269.5275289826527,2303.1573254701025,2329.8374797106676,2352.346531684998,2367.299394047145,2378.365346288813,2388.393806978673,2396.1166915288945,2390.5219064989697,2382.28022776291,2372.497545606212,2373.804042394259,2380.234118411301,2391.935460040706,2402.579631284796,2408.2866511726756,2406.253094577023,2407.7933551228257,2418.6157744900293,2425.1923256827886,2438.7993769244363,2434.0351942370585,2434.3634624523916,2427.20011762451,2442.320628087815,2452.656108103558,2462.166605389438,2468.1413809040937,2471.7610163778386,2486.1150864916854,2492.1150786651665,2507.478514785423,2506.060290402727,2504.1510692698553,2506.020972508736,2517.9499806651124,2522.607780212456,2523.441053972652,2524.5723993042484,2535.200219358091,2537.813577969332,2535.4709782866485,2536.115386536785,2543.5630733078356,2548.3136754065945,2550.4131450603027,2554.6930657134267,2561.2153755384797,2565.4280174059054,2574.3167287572523,2583.295912295853,2593.046576121133,2595.6571864161556,2596.0008025907778,2601.9474410359794
